Graph;Genre;Ngraph;Nphon;FRtlf1;FRbaud;FRSdest;VIMdest
pouce;m;5;3;1944;81;4.900000095;6.550000191
poudre;f;6;5;2029;27;4.119999886;5.860000134
poudreuse;f;9;6;106;0;2.75;4.070000172
poule;f;5;3;2182;15;3.980000019;6.639999866
poupée;f;6;4;1059;19;4.269999981;6.659999847
poussière;f;9;6;5590;46;5.010000229;5.800000191
prairie;f;7;5;2284;25;3.089999914;6.309999943
praticien;m;9;8;285;9;2.640000105;3.630000114
pratiquant;m;10;7;242;2;3.619999886;3.50999999
pratique;f;8;6;3854;82;5.090000153;2.930000067
précepteur;m;10;9;442;4;1.970000029;2.569999933
prêcheur;m;8;6;136;0;2.619999886;4.610000134
prédicateur;m;11;10;361;1;2.130000114;3.140000105
prédiction;f;10;9;416;8;3.900000095;2.730000019
préfet;m;6;5;1033;5;1.970000029;3.210000038
prénom;m;6;5;1123;12;4.940000057;4.989999771
présence;f;8;6;17025;239;4.78000021;3.400000095
présidente;f;10;8;59;27;4.360000134;5.050000191
prêtre;m;6;6;10031;153;3.940000057;6.309999943
preuve;f;6;4;8236;146;4.889999866;3.210000038
prévision;f;9;8;1939;34;4.070000172;2.809999943
printemps;m;9;5;5977;75;5.079999924;5.789999962
prise;f;5;4;4730;133;3.829999924;3.269999981
prison;f;6;5;5237;77;4.190000057;6.460000038
prisonnier;m;10;8;7002;36;4.039999962;6.159999847
prisonnière;f;11;9;-1;36;3.869999886;5.269999981
privilège;m;9;8;2382;39;4.079999924;2.529999971
prix;m;4;3;13396;330;5.71999979;5.230000019
problème;m;8;7;17366;519;5.989999771;3.279999971
productrice;f;11;10;-1;54;3.450000048;3.049999952
produit;m;7;6;2531;241;4.980000019;3.789999962
professeur;m;10;8;6653;202;6.400000095;6.159999847
profession;f;10;8;2110;56;4.909999847;3.839999914
professionnel;m;13;11;2207;14;5.650000095;3.710000038
profit;m;6;5;5373;84;4.960000038;4.070000172
profondeur;f;10;8;7896;55;4.389999866;4.690000057
programme;m;9;7;3769;266;5.519999981;4.550000191
progrès;m;7;6;7827;145;4.699999809;2.789999962
projecteur;m;10;9;472;17;4.21999979;5.900000095
projection;f;10;9;1063;27;3.349999905;3.650000095
projet;m;6;5;11061;181;5.320000172;3.799999952
promenade;f;9;7;5377;30;4.099999905;4.96999979
propos;m;6;5;13247;115;3.779999971;2.230000019
propreté;f;8;8;557;10;5.309999943;4.360000134
propriété;f;9;10;4764;97;4.650000095;4.710000038
propulseur;m;10;9;4;0;1.820000052;3.640000105
protection;f;10;9;2173;44;4.880000114;3.809999943
protestante;f;11;9;-1;9;3.220000029;3.099999905
provocation;f;11;10;633;5;3.710000038;2.980000019
prunelle;f;8;6;1599;5;2.25;4.179999828
puberté;f;7;7;365;7;3.75;4.369999886
public;m;6;6;14758;226;5.46999979;5.559999943
publicité;f;9;9;982;35;5.28000021;5.25
puissance;f;9;6;18212;178;4.650000095;3.309999943
puits;m;5;3;2373;26;3.339999914;6.460000038
pull;m;4;3;-1;1;2.519999981;4.869999886
punaise;f;7;5;323;5;3.230000019;5.730000019
pureté;f;6;5;3697;17;4.019999981;3.089999914
puritaine;f;9;7;-1;3;1.710000038;2.75999999
pyjama;m;6;6;467;12;5.239999771;6.710000038
quadrant;m;8;5;-1;0;3.690000057;5.760000229
quart;m;5;3;5909;59;4.630000114;4.300000191
quartier;m;8;6;8381;73;3.940000057;5.289999962
querelle;f;8;5;2765;19;3.289999962;4.570000172
questionnaire;m;13;9;161;8;4.849999905;6.050000191
queue;f;5;2;3024;25;4.570000172;6.53000021
rabbin;m;6;4;238;5;1.370000005;3.920000076
radiateur;m;9;8;178;18;2.960000038;6.159999847
radio;f;5;5;2390;139;6.199999809;6.880000114
radis;m;5;4;280;1;4.230000019;6.630000114
rage;f;4;3;3411;26;3.74000001;3.910000086
rail;m;4;3;710;9;2.799999952;5.739999771
raisin;m;6;4;1157;5;5.139999866;6.769999981
raison;f;6;4;48197;411;5.639999866;2.599999905
raisonnement;m;12;7;3216;18;4.489999771;2.670000076
rameau;m;6;4;;2;2.380000114;5.46999979
rameur;m;6;5;106;1;2.789999962;5.480000019
randonnée;f;9;6;251;9;3.299999952;4.369999886
rang;m;4;2;5177;74;4.460000038;4.659999847
rapidité;f;8;8;1484;29;4.840000153;3.410000086
rapport;m;7;5;21603;469;4.739999771;4.179999828
raquette;f;8;5;182;7;4.460000038;6.559999943
rat;m;3;2;2207;26;3.769999981;6.75
ravin;m;5;4;791;13;2.180000067;5.570000172
ravisseur;m;9;7;97;0;2.390000105;3.180000067
rayon;m;5;4;5875;59;4.019999981;5.989999771
réaction;f;8;7;5781;146;5.260000229;3.470000029
réalisateur;m;11;10;85;20;4.429999828;4.03000021
réalité;f;7;7;23232;204;4.860000134;2.579999924
récepteur;m;9;8;527;11;3.569999933;4.340000153
receveur;m;8;6;365;8;3.559999943;4.429999828
recherche;f;9;7;9644;310;5.289999962;3.799999952
récompense;f;10;7;1829;13;4.519999981;4.050000191
record;m;6;5;378;53;4.230000019;4.460000038
récréation;f;10;9;757;8;3.809999943;5.139999866
recrue;f;6;5;336;5;3.109999895;3.779999971
rectangle;m;9;8;557;3;4.210000038;6.699999809
recteur;m;7;6;387;15;2.200000048;3.140000105
rédacteur;m;9;8;497;22;3.75;3.680000067
réduction;f;9;8;1144;55;4.360000134;3.559999943
référence;f;9;7;1395;13;4.650000095;3.119999886
reflet;m;6;5;4684;34;3.910000086;4.610000134
réflexion;f;9;9;9925;76;4.25;3.180000067
refrain;m;7;5;846;3;4.199999809;4.210000038
réfrigérateur;m;13;12;34;4;5.090000153;6.75
refuge;m;6;5;2127;24;2.99000001;4.550000191
regard;m;6;5;39973;270;4.71999979;4.670000076
régime;m;6;5;6428;130;4.210000038;3.680000067
région;f;6;5;10499;244;5.230000019;4.360000134
regret;m;6;5;5517;36;4.239999771;2.869999886
régulateur;m;10;9;557;0;2.410000086;3.539999962
reine;f;5;3;5534;148;3.519999981;6.539999962
rejet;m;5;4;348;5;3.349999905;3.049999952
relais;m;6;4;314;9;3.019999981;4.210000038
relation;f;8;7;11461;164;5.130000114;3.200000048
relativité;f;10;10;433;14;2.829999924;1.870000005
relaxation;f;10;10;-1;0;4.260000229;4.190000057
religieuse;f;10;8;-1;50;3.920000076;6.349999905
religion;f;8;7;11239;131;5.010000229;3.589999914
remarque;f;8;6;2961;38;4.829999924;2.99000001
remède;m;6;5;2795;43;4.579999924;5.659999847
remise;f;6;5;799;15;3.460000038;4.78000021
remorqueur;m;10;8;178;5;2.329999924;5.539999962
renard;m;6;5;1327;10;3.420000076;6.710000038
rencontre;f;9;7;6530;73;5.170000076;4.360000134
repas;m;5;4;5671;62;5.809999943;6.150000095
réponse;f;7;5;11805;185;5.880000114;3.549999952
repos;m;5;4;7538;47;5.809999943;4.119999886
représentante;f;13;10;-1;90;4.53000021;4.139999866
représentation;f;14;12;5539;42;4.190000057;3.24000001
reproche;m;8;6;4615;16;3.769999981;3.059999943
résidente;f;9;7;-1;8;4.019999981;3.819999933
résine;f;6;5;404;32;2.309999943;4.650000095
résistance;f;10;8;8870;72;3.829999924;3.470000029
respect;m;7;5;6483;75;5.400000095;3.160000086
responsabilité;f;14;13;4390;112;5.659999847;3.279999971
restaurant;m;10;7;3195;50;6.420000076;6.610000134
reste;m;5;5;26266;143;5.480000019;2.74000001
résultat;m;8;7;9240;258;5.550000191;3.680000067
retard;m;6;5;4530;52;5.429999828;3.660000086
retentissement;m;14;9;761;1;2.25;2.589999914
rétine;f;6;5;433;2;3.180000067;5.119999886
retour;m;6;5;15064;130;4.980000019;3.549999952
retraite;f;8;6;4705;54;4.400000095;3.5
réunion;f;7;6;3356;86;5.199999809;4.619999886
réussite;f;8;6;2331;42;4.889999866;3.619999886
rêve;m;4;3;19893;112;5.889999866;4.300000191
revenu;m;6;5;1608;124;5.039999962;4.099999905
rêverie;f;7;5;4245;10;3.329999924;3.609999895
rêveuse;f;7;5;-1;3;4.400000095;3.940000057
révolution;f;10;9;9623;92;3.5;3.809999943
revue;f;5;4;5739;63;4.829999924;6.380000114
rhétoricien;m;11;9;55;0;1.389999986;2.180000067
richesse;f;8;5;5088;68;4.039999962;4.590000153
rideau;m;6;4;5862;51;5.119999886;6.639999866
rire;m;4;3;-1;;5.880000114;5.679999828
rivage;m;6;5;1403;15;2.49000001;5.340000153
rivière;f;7;6;3773;99;4.78000021;6.559999943
robinet;m;7;6;587;3;3.99000001;6.829999924
roche;f;5;3;1961;14;4.929999828;6.690000057
rocher;m;6;4;2918;30;3.700000048;6.429999828
roi;m;3;3;20565;122;3.589999914;6.28000021
rôle;m;4;3;12805;282;4.670000076;3.529999971
roman;m;5;4;11337;112;4.369999886;5.940000057
romancière;f;10;8;-1;33;3.25999999;3.910000086
rond;m;4;2;3722;12;4.880000114;6.199999809
roseau;m;6;4;1174;3;2.279999971;5.639999866
rosier;m;6;5;553;8;3.440000057;6.199999809
roue;f;4;2;2607;43;4.710000038;6.679999828
rouleau;m;7;4;684;32;4.260000229;5.840000153
roulette;f;8;5;238;12;3.970000029;5.690000057
roulotte;f;8;5;544;4;3.890000105;6.590000153
route;f;5;3;24011;197;5.889999866;6.730000019
royaume;m;7;6;4900;46;3.430000067;5.010000229
rubis;m;5;4;336;23;2.420000076;6.170000076
rue;f;3;2;33251;269;6.170000076;6.360000134
ruelle;f;6;4;1697;15;3.470000029;6.210000038
ruisseau;m;8;5;3020;13;4.039999962;6.639999866
rythme;m;6;5;5815;66;4.159999847;3.700000048
sable;m;5;5;6402;85;4.119999886;6.630000114
sabot;m;5;4;1910;9;2.74000001;6.320000172
sac;m;3;3;5951;64;6.090000153;6.690000057
sagesse;f;7;5;5700;32;3.650000095;3.019999981
saint;m;5;2;31052;32;4.010000229;4.409999847
sainte;f;6;3;-1;32;3.660000086;4.050000191
salade;f;6;5;965;6;5.579999924;6.619999886
salaire;m;7;5;1501;62;5.820000172;4.730000019
salaud;m;6;4;1476;5;3.349999905;4.199999809
saleté;f;6;5;965;1;4.940000057;5.260000229
salle;f;5;3;15396;252;5.099999905;6.179999828
salon;m;5;4;9623;87;5.769999981;6.360000134
salope;f;6;5;195;5;2.75999999;4.179999828
samedi;m;6;5;3573;48;6.369999886;4.079999924
sandale;f;7;5;374;4;4.170000076;6.360000134
sandwich;m;8;7;378;9;5.800000191;6.809999943
sang;m;4;2;17685;12;5.110000134;6.71999979
santé;f;5;4;6147;113;6.010000229;3.049999952
sapin;m;5;4;1531;10;4.650000095;6.849999905
satin;m;5;4;680;13;3.950000048;5.590000153
satisfaction;f;12;11;5139;58;4.510000229;3.470000029
saule;m;5;3;744;6;1.99000001;5.340000153
sauterelle;f;10;6;293;0;3.74000001;6.710000038
sauveteur;m;9;6;263;6;3.650000095;4.960000038
savant;m;6;4;7019;61;3.849999905;4.449999809
savon;m;5;4;850;14;6.050000191;6.610000134
saxophone;m;9;8;72;1;2.75;6.489999771
scalpel;m;7;7;106;3;2.440000057;5.699999809
sceau;m;5;2;587;6;3.690000057;5.800000191
scélérat;m;8;6;212;2;1.549999952;2.400000095
scène;f;5;3;13601;191;3.809999943;5
schéma;m;6;4;1616;31;3.5;4.210000038
science;f;7;4;15383;246;5.710000038;4.079999924
scoutisme;m;9;8;-1;0;2.210000038;4.619999886
sculpteur;m;9;7;1501;9;3.849999905;5.409999847
sculpture;f;9;7;1629;14;3.519999981;6.309999943
séance;f;6;4;2807;32;3.190000057;3.349999905
sécateur;m;8;7;140;0;1.49000001;4.03000021
sécheuse;f;8;5;;1;5.110000134;6.510000229
seconde;f;7;5;6126;102;5.679999828;3.75999999
secours;m;7;5;5007;42;4.190000057;4
secteur;m;7;6;1871;141;3.74000001;3.460000038
sécurité;f;8;8;3943;135;4.889999866;3.75999999
séductrice;f;10;9;-1;1;3.210000038;4.510000229
sel;m;3;3;2054;34;5.980000019;6.309999943
selle;f;5;3;795;11;2.920000076;5.980000019
semaine;f;7;5;15626;289;6.440000057;4.480000019
séminaire;m;9;7;1161;27;3.279999971;4.059999943
sénateur;m;8;7;595;11;3.670000076;4.090000153
sens;m;4;3;59024;72;4.989999771;2.960000038
sensation;f;9;7;9708;47;4.699999809;3.359999895
senteur;f;7;5;472;5;4.659999847;2.970000029
sentier;m;7;5;2654;22;3.460000038;5.860000134
sentiment;m;9;6;34519;161;5.46999979;2.859999895
sergent;m;7;5;2016;11;3.279999971;5.260000229
série;f;5;4;5007;144;4.25;3.349999905
serin;m;5;4;229;0;2.190000057;4.980000019
serrure;f;7;5;1425;8;3.779999971;6.510000229
servante;f;8;6;-1;18;4.28000021;5.860000134
service;m;7;6;15366;439;5.320000172;3.390000105
serviette;f;9;7;2195;23;5.730000019;6.570000172
serviteur;m;9;8;2293;22;3.539999962;5.300000191
session;f;7;5;131;22;4.769999981;3.589999914
sexe;m;4;5;2033;33;5.730000019;5.619999886
sexualité;f;9;10;753;0;5.389999866;4.679999828
siècle;m;6;6;20131;301;3.920000076;2.99000001
sifflet;m;7;5;1152;10;3.480000019;6.5
signe;m;5;3;19778;157;5.110000134;4.650000095
signification;f;13;11;6581;42;4.590000153;2.279999971
silence;m;7;5;32885;166;5.489999771;3.99000001
simplicité;f;10;9;3999;22;3.299999952;2.589999914
singe;m;5;3;1646;27;3.589999914;6.820000172
situation;f;9;8;16659;233;5.269999981;2.950000048
ski;m;3;3;161;43;5.309999943;6.730000019
skieur;m;6;5;25;14;4.869999886;6.579999924
skieuse;f;7;5;-1;14;4.710000038;6.400000095
slip;m;4;4;34;2;2.25999999;5.420000076
sobriquet;m;9;7;131;2;2.170000076;2.980000019
société;f;7;7;14477;384;5.230000019;3.819999933
soeur;f;5;3;14775;128;5.840000153;6.03000021
soeurette;f;9;5;8;0;1.49000001;4.239999771
sofa;m;4;4;276;3;5.190000057;6.670000076
soif;f;4;4;4207;23;5.940000057;3.869999886
soirée;f;6;5;6436;80;6.099999905;4.96999979
sol;m;3;3;11103;148;3.910000086;5.769999981
soldat;m;6;5;11167;59;4.550000191;6.119999886
soleil;m;6;5;25683;191;6.159999847;6.860000134
solitude;f;8;7;9546;52;3.700000048;3.5
solliciteur;m;11;9;106;2;2.619999886;3.74000001
solution;f;8;7;5828;210;5.269999981;3.180000067
sommeil;m;7;5;10269;54;5.360000134;4.690000057
sommet;m;6;4;4011;55;3.829999924;6.019999981
sondage;m;7;5;144;19;4.039999962;4.760000229
songe;m;5;3;4475;17;3.119999886;2.769999981
sorcier;m;7;6;1497;13;2.579999924;5.579999924
sorcière;f;8;7;-1;13;3.680000067;6.409999847
sorte;f;5;5;41794;235;5.400000095;2.160000086
sotte;f;5;3;-1;3;2.440000057;3.359999895
souci;m;5;4;8291;78;3.279999971;2.789999962
souffrance;f;10;6;9657;49;3.589999914;3.869999886
soûlard;m;7;5;17;0;2.299999952;5
soulier;m;7;5;3650;17;6.239999771;6.769999981
soupe;f;5;3;2493;15;5.489999771;6.579999924
souper;m;6;4;-1;16;6.340000153;5.519999981
sourd-muet;m;10;6;272;3;3.130000114;4.420000076
sourire;m;7;5;-1;96;5.5;6.489999771
souris;f;6;4;1042;11;4.119999886;6.739999771
soutane;f;7;5;957;1;2.069999933;5.360000134
souvenir;m;8;6;-1;126;5.449999809;3.640000105
spectatrice;f;11;10;-1;51;3.529999971;4.699999809
spirale;f;7;6;421;8;3.309999943;5.590000153
spontanéité;f;11;10;1357;3;2.650000095;2.430000067
stade;m;5;4;1629;53;3.599999905;4.989999771
stage;m;5;4;229;38;4.409999847;3.430000067
statue;f;6;5;4556;24;4.059999943;6.349999905
statuette;f;9;7;225;1;3.049999952;6.150000095
stupéfiant;m;10;8;374;1;3.779999971;4.489999771
style;m;5;4;6964;124;5.150000095;3.339999914
substance;f;9;7;5258;35;4.199999809;4.449999809
succès;m;6;5;7474;154;5.340000153;3.859999895
successeur;m;10;8;816;18;3.099999905;2.99000001
sucre;m;5;5;2033;34;5.860000134;6.710000038
suédoise;f;8;7;-1;4;2.640000105;4.230000019
sueur;f;5;4;3441;24;4.630000114;5.670000076
suite;f;5;4;31005;328;4.789999962;3.720000029
sultan;m;6;5;1433;2;1.559999943;4.039999962
suppléante;f;10;7;-1;0;3.579999924;4.5
sûreté;f;6;5;1654;29;4.329999924;2.789999962
surface;f;7;6;5492;135;4.210000038;4.760000229
surprise;f;8;7;4224;83;5.21999979;4.75
surveillante;f;12;8;-1;12;3.940000057;4.679999828
symbole;m;7;5;3620;43;4.610000134;4.699999809
système;m;7;6;11639;228;5.309999943;3.400000095
tabac;m;5;4;2225;18;4.179999828;6.119999886
table;f;5;5;25402;166;6.039999962;6.809999943
tableau;m;7;5;8538;144;5.460000038;6.489999771
tablier;m;7;7;1591;2;4.71999979;6.53000021
tabou;m;5;4;251;13;2.579999924;3.480000019
tabouret;m;8;6;748;6;3.160000086;5.989999771
tache;f;5;3;4241;42;4.610000134;5.309999943
tâche;f;5;3;6002;120;4.639999866;3.700000048
taillis;m;7;4;855;2;1.399999976;2.75999999
talus;m;5;4;1378;5;1.559999943;3.450000048
tambour;m;7;5;1476;8;3.329999924;6.650000095
tambourin;m;9;6;93;0;1.929999948;5.730000019
tante;f;5;3;6139;30;5.579999924;5.619999886
tapage;m;6;5;391;7;3.559999943;3.5
tapageur;m;8;7;-1;2;1.730000019;3.710000038
tapis;m;5;4;3458;28;5.619999886;6.760000229
tartine;f;7;6;391;1;2.549999952;5.980000019
tas;m;3;2;3956;20;4.369999886;4.96999979
tasse;f;5;3;2131;36;5.869999886;6.78000021
taudis;m;6;4;259;3;2.599999905;4.630000114
taureau;m;7;4;3143;32;2.890000105;6.53000021
taverne;f;7;7;489;21;3.730000019;6.139999866
taxi;m;4;5;1931;21;5.010000229;6.650000095
teinte;f;6;3;842;51;3.299999952;4.380000114
télévision;f;10;9;46;113;6.260000229;6.829999924
témoin;m;6;5;4705;87;4.480000019;4.300000191
tendance;f;8;5;6036;114;4.199999809;2.200000048
tendresse;f;9;6;7121;35;4.75;3.720000029
tension;f;7;5;2573;48;4.389999866;3.309999943
tentative;f;9;7;2522;48;3.579999924;2.730000019
tente;f;5;3;1961;31;4.630000114;6.760000229
terrain;m;7;4;7513;121;5.179999828;6.119999886
terrasse;f;8;5;4062;28;3.789999962;6.199999809
terre;f;5;3;45134;313;5.239999771;6.010000229
terreur;f;7;5;4475;30;3.25999999;3.779999971
terrier;m;7;5;374;2;2.910000086;5.380000114
territoire;m;10;8;4918;104;3.980000019;4.46999979
tête;f;4;3;63793;429;5.849999905;6.380000114
texte;m;5;6;7981;110;5.239999771;5.460000038
thé;m;3;2;3169;49;5.039999962;6.559999943
théâtre;m;7;6;11452;159;5.050000191;6.329999924
thème;m;5;3;4543;58;4.110000134;2.309999943
théoricienne;f;12;9;-1;10;2.470000029;2.880000114
théorie;f;7;5;6394;104;4.880000114;2.99000001
tige;f;4;3;1718;19;3.710000038;6.239999771
timbale;f;7;5;165;3;2.049999952;5.039999962
tintamarre;m;10;7;191;0;1.470000029;3.529999971
tisserand;m;9;5;119;4;1.730000019;3.650000095
tissu;m;5;4;2888;78;4.5;5.789999962
titre;m;5;5;9316;222;5.510000229;5.099999905
toilette;f;8;6;3114;49;6.440000057;6.760000229
toit;m;4;3;5666;49;4.449999809;6.690000057
tondeuse;f;8;5;-1;3;3.480000019;6.429999828
torpilleur;m;10;8;97;2;1.460000038;4.170000076
tort;m;4;3;8695;59;4.25;2.529999971
tortue;f;6;5;557;6;3.890000105;6.710000038
torture;f;7;6;1301;14;2.940000057;4.650000095
tourbillon;m;10;7;1289;6;3.019999981;5.400000095
tourelle;f;8;5;314;4;1.590000033;4.25
tournant;m;8;5;727;12;3.680000067;4.019999981
tracteur;m;8;7;136;11;3.769999981;6.610000134
traducteur;m;10;9;395;2;4.119999886;3.789999962
traduction;f;10;9;2880;17;3.99000001;3.49000001
trafic;m;6;6;770;33;5.53000021;5.550000191
tragédien;m;9;8;165;0;1.570000052;3.150000095
train;m;5;3;16774;178;5.190000057;6.789999962
traîneau;m;8;5;208;10;4;6.789999962
traité;m;6;5;3628;43;3.279999971;3.119999886
trajet;m;6;5;1382;27;3.890000105;4.489999771
tranchant;m;9;5;978;3;3.410000086;4.300000191
trappe;f;6;4;621;11;2.730000019;5.46999979
travail;m;7;6;34983;255;6.630000114;4.159999847
travailleur;m;11;8;2254;77;5.690000057;4.75
trayeuse;f;8;6;-1;0;1.799999952;4.139999866
treillis;m;8;5;191;5;1.649999976;3.579999924
tremplin;m;8;6;221;6;3.5;6.340000153
trésorier;m;9;8;127;12;3.24000001;4.090000153
tréteau;m;7;5;225;0;1.200000048;2.619999886
tricot;m;6;5;480;11;4.099999905;6.460000038
tripe;f;5;4;416;1;2.819999933;4.690000057
tristesse;f;9;7;7751;26;5.03000021;3.539999962
tronc;m;5;3;2531;18;3.779999971;6.28000021
trottoir;m;8;7;3692;22;5.300000191;6.539999962
trou;m;4;3;5807;36;5.03000021;6.429999828
troupe;f;6;4;11286;87;3.900000095;5.159999847
truand;m;6;4;51;1;1.549999952;3.289999962
truc;m;4;4;1744;8;4.360000134;3.839999914
tube;m;4;3;910;52;3.809999943;5.989999771
tueur;m;5;4;251;3;3.670000076;4.960000038
tueuse;f;6;4;-1;3;2.980000019;4.460000038
tuteur;m;6;5;331;3;3.25;4.610000134
tuyau;m;5;5;1021;17;4.150000095;6.579999924
typologie;f;9;8;178;0;1.480000019;2.150000095
tyran;m;5;4;1514;2;2.039999962;3.839999914
unité;f;5;5;13677;142;4.690000057;3.180000067
univers;m;7;6;13630;90;3.690000057;4.739999771
université;f;10;10;2314;207;6.409999847;6.340000153
urine;f;5;4;344;6;4.340000153;6.360000134
usine;f;5;4;3977;108;4.53000021;6.190000057
utilité;f;7;7;1506;31;4.400000095;2.359999895
vacance;f;7;5;3718;66;5.619999886;4.940000057
vache;f;5;3;3526;38;4.559999943;6.829999924
vainqueur;m;9;5;2220;15;3.849999905;4.550000191
vaisseau;m;8;4;1408;24;3.109999895;5.679999828
vaisselle;f;9;5;1038;10;5.900000095;6.5
valet;m;5;4;2688;5;2.75;5.159999847
valeur;f;6;5;19854;377;5.119999886;2.630000114
valise;f;6;5;2590;32;5.059999943;6.710000038
vallée;f;6;4;3803;48;2.960000038;6.150000095
vaurien;m;7;5;178;4;2.920000076;3.75
vautour;m;7;5;319;7;2.25;6.070000172
végétal;m;7;7;1731;1;4.090000153;4.440000057
végétarienne;f;12;10;-1;0;4.139999866;4.21999979
veilleuse;f;9;5;-1;6;3.089999914;5.039999962
vélo;m;4;4;442;4;3.410000086;6.769999981
vendeuse;f;8;5;-1;28;5.130000114;5.360000134
venin;m;5;4;421;1;2.400000095;4.090000153
vent;m;4;2;19191;109;5.389999866;5.190000057
ventilateur;m;11;9;195;4;2.970000029;6.019999981
ventre;m;6;5;6840;43;5.559999943;6.510000229
verdict;m;7;7;399;11;3.309999943;3.869999886
vérité;f;6;6;28070;195;5.389999866;2.900000095
verre;m;5;3;9848;126;5.800000191;6.480000019
versant;m;7;5;918;5;2.690000057;3.910000086
vertige;m;7;6;2650;18;3.99000001;3.589999914
veste;f;5;5;2063;18;4.460000038;6.300000191
vêtement;m;8;5;6296;72;5.489999771;6.260000229
vétéran;m;7;6;119;1;3.319999933;4.369999886
viande;f;6;4;2722;23;6.139999866;6.519999981
vidangeur;m;9;7;8;0;3.099999905;5.440000057
vie;f;3;2;124098;1058;6.230000019;3.380000114
vigilance;f;9;7;816;3;2.950000048;2.49000001
vigneron;m;8;5;280;5;1.860000014;4.340000153
villa;f;5;5;1974;22;2.049999952;5.360000134
village;m;7;5;12341;136;4.539999962;6.139999866
villageois;m;10;7;438;7;2.880000114;4.789999962
ville;f;5;3;28465;480;5.880000114;5.940000057
vin;m;3;2;9006;93;5.090000153;6.590000153
vinaigre;m;8;7;399;0;4.650000095;6.46999979
violette;f;8;6;1501;4;3.200000048;5.980000019
visage;m;6;5;44125;275;5.460000038;6.489999771
visière;f;7;6;314;2;2.660000086;4.880000114
vision;f;6;5;6258;39;4.320000172;3.900000095
visiteur;m;8;7;2578;31;5.230000019;4.710000038
vitesse;f;7;5;3714;115;5.420000076;4.019999981
vitre;f;5;5;3616;32;5.110000134;6.260000229
vitrine;f;7;6;1157;18;4.590000153;6.25
vocabulaire;m;11;9;1425;21;4.71999979;4.099999905
voeu;m;4;2;2820;38;3.5;3.400000095
voie;f;4;3;10333;197;4.03000021;4.380000114
voilier;m;7;6;399;9;3.720000029;6.46999979
voisin;m;6;5;12307;101;5.429999828;5.650000095
voisinage;m;9;8;1748;17;3.49000001;4.980000019
voisine;f;7;6;-1;101;5.869999886;5.619999886
voiture;f;7;6;11827;197;5.480000019;6.820000172
voix;f;4;3;53791;313;5.440000057;3.829999924
vol;m;3;3;3828;73;4.639999866;4.610000134
volant;m;6;4;1650;39;4.159999847;5.78000021
volcan;m;6;5;489;4;3.460000038;6.550000191
voleur;m;6;5;2199;22;4.78000021;5.400000095
voleuse;f;7;5;-1;22;4.260000229;4.539999962
volonté;f;7;6;22020;154;4.389999866;2.450000048
voûte;f;5;3;2254;14;1.960000038;4.349999905
voyage;m;6;6;12035;181;5.619999886;5.5
voyageur;m;8;8;3522;60;4.800000191;4.940000057
vulgarité;f;9;9;880;2;2.769999981;3.25999999
week-end;m;8;6;119;0;6.070000172;5.079999924
whisky;m;6;5;523;15;3.49000001;5.849999905
zéro;m;4;4;735;20;5.269999981;6.239999771
zoo;m;3;3;80;1;3.450000048;6.489999771
