Appendix C. Spanish base and complex words phonologically opaque;;;;;;;;;;;;;;;;;
;;;;;;;;;;Complex word;;;;;;;
Base words;AoA;Imag;Fr;L;P;S;N;MFS;MFS;Phonologically;AoA;Imag;Fr;L;P;S;N
;;;;;;;;all;Sem.R;Opaque;;;;;;;
abierto (open);2.2;6.1;3.3;7;7;3;2;15;15;abertura (opening);4.6;6;1.9;8;8;4;2
agua (water)*;1.3;7;4;4;4;2;4;46;46;acueducto (aqueduct);5;7;1;9;9;4;0
agua (water)*;1.3;7;4;4;4;2;4;46;46;acuífero (water-bearing);5.6;6.4;0;8;8;4;1
aire (air);2.4;4.8;3.7;4;4;2;6;7;7;aéreo (aerial);3.8;6.1;2.8;5;5;4;4
almorzar (to have lunch);2.4;6.4;3.1;8;8;3;2;6;3;almuerzo (lunch);2.3;7.3;3.3;8;8;3;1
antiguo (old);3.5;5.7;3.1;7;7;3;1;11;11;anticuario (antique dealer);5.8;6;1.2;10;10;4;0
oído (ear);2.4;6.8;3.7;4;4;3;1;19;18;auditorio (auditorium);4.5;7.6;1.9;9;9;4;1
boca (mouth);1.5;6.9;3.8;4;4;2;25;30;30;bucal (oral);4.9;5.8;1.9;5;5;2;4
cien (hundred)*;3.3;6.5;3.2;4;4;1;2;7;7;centena (hundred);4.1;5.3;0.7;7;7;3;0
cien (hundred)*;3.3;6.5;3.2;4;4;1;2;7;7;centenario (centenary);4.8;4.8;1.1;10;10;4;1
cierre (closing);2.8;5.2;3;6;5;2;3;18;17;cerradura (lock);3.1;7.7;2.5;9;8;4;5
cierto (certain)*;3.8;3;4.3;6;6;2;5;14;14;certero (accurate);5.6;4;1.7;7;7;3;5
cierto (certain)*;3.8;3;4.3;6;6;2;5;14;14;certeza (certainty);5.5;3.8;2.7;7;7;3;0
cubrir (to cover);3.7;5.2;2.9;6;6;2;0;11;11;cobertura (coverage);5;5.5;2.6;9;9;4;2
comprimir (to compress);5.6;4.4;1.1;9;9;3;0;22;11;compresión (compression);4.9;4.4;1.5;10;10;3;0
confianza (confidence);4.4;3.6;3.3;9;9;3;0;9;4;confidente (confidant);5.5;4.8;1.8;10;10;4;2
cuerno (horn);3.2;6.8;2.4;6;6;2;5;30;30;cornudo (horned);5.6;5.7;1.8;7;7;3;5
cuerpo (body);2;6.8;4;6;6;2;3;22;22;corporal (corporal);4.2;5.5;2.5;8;8;3;0
deuda (debt);4.6;3.9;3;5;5;2;4;10;6;débito (debit);6.6;4;1.3;6;6;3;0
diez (ten);2;6.6;3.8;4;4;1;1;7;7;decena (tenth);3.5;5.7;1;6;6;3;4
deficiencia (deficiency);5.7;3.4;2;11;11;4;0;4;2;defecto (defect);4.6;4.4;2.4;7;7;3;2
diente (tooth)*;1.7;6.9;2.6;6;6;2;2;28;28;dentadura (teeth);3.3;7.9;2;9;9;4;1
diente (tooth)*;1.7;6.9;2.6;6;6;2;2;28;28;dentífrico (toothpaste);4.2;7.5;1.7;10;10;4;1
diente (tooth)*;1.7;6.9;2.6;6;6;2;2;28;28;dentista (dentist);2.9;7.8;2.8;8;8;3;2
desierto (desert);3.4;6.8;3.1;8;8;3;1;5;5;desértico (desertic);4.9;6.9;1;9;9;4;1
dedo (finger);1.4;7;3.3;4;4;2;9;5;5;digital (digital);4.8;5.4;2.6;7;7;3;0
dividir (divide)*;3.7;5;2.2;7;7;3;1;12;12;división (division);3.7;6;2.9;8;8;3;1
dividir (divide)*;3.7;5;2.2;7;7;3;1;12;12;divisor (divisor);3.9;4.9;0.8;7;7;3;1
duda (doubt);3;3.4;3.5;4;4;2;12;13;7;dubitativo (doubtful);6;4.5;0.9;10;10;5;1
doble (double)*;3.3;5;3.5;5;5;2;7;25;24;dúplex (duplex);6;6.9;1.5;6;6;2;0
doble (double)*;3.3;5;3.5;5;5;2;7;25;24;duplicado (duplicate);5.4;5.5;1.9;9;9;4;1
dormir (sleep);1.4;6.8;3.9;6;6;2;0;25;25;durmiente (sleeping);3;6.1;2;9;9;3;1
envuelto (wrapped up);3.9;5.7;2.4;8;8;3;1;28;9;envoltorio (wrapper);3.8;7.1;1.8;10;10;4;0
escuela (school);2.1;6.6;4;7;7;3;3;24;10;escolar (schoolboy);2.6;6.5;2.8;7;7;3;10
estiércol (manure);4.8;6.4;2.1;9;9;3;0;9;9;estercolero (dunghill);5.1;6.8;1;11;11;5;0
fiebre (fever);3.2;5.4;3;6;6;2;2;6;6;febril (feverish);6.1;5;1.2;6;6;2;1
fiesta (party);2.5;6.8;4;6;6;2;2;8;7;festejo (celebration0;5.1;6.3;1.9;7;7;3;1
fuego (fire)*;2.3;6.8;3.7;5;5;2;5;20;20;fogata (bonfire);4.8;7.3;2.3;6;6;3;1
fuego (fire)*;2.3;6.8;3.7;5;5;2;5;20;20;fogón (stove0;4.5;7.6;1.2;5;5;2;4
fuerte (strong);2.4;5.5;3.9;6;6;2;3;25;15;fortachón (well-built);4.4;7.3;1.5;9;8;3;0
fuerza (force)*;3;4.4;3.7;6;6;2;1;28;20;forzoso (compulsory);4.8;5.1;1.3;7;7;3;1
fuerza (force)*;3;4.4;3.7;6;6;2;1;28;20;forzudo (stron);4.3;6.7;1;7;7;3;2
frente (forehead);2.1;6.6;3.8;6;6;2;4;10;9;frontal (frontal);4.8;6.4;2.3;7;7;2;2
hierba (grass)*;2.6;6.8;3;6;5;2;1;31;31;herbívoro (herbivorous);4;5.8;1;9;8;4;1
hierba (grass)*;2.6;6.8;3;6;5;2;1;31;31;herbolario (herbalist);4.9;7.2;0.6;10;9;4;1
hostal (hostel);4.9;5.9;1.5;6;5;2;4;9;7;hospital  (hospital);2.8;7.8;3.8;8;7;3;0
hierro (iron);3.5;6.5;2.7;6;4;2;5;26;26;herrero (blacksmith);4.5;7.2;2;7;5;3;8
huerta (vegetable garden)*;3;6.9;1.7;6;6;2;4;7;7;hortelano (horticulturist);5.7;5.3;0;9;8;4;2
huerta (vegetable garden)*;3;6.9;1.7;6;6;2;4;7;7;horticultura (horticulutre);6.5;5.7;1.2;12;11;5;1
huésped (guest0;4.5;5.3;2.6;7;7;2;0;6;6;hospedaje (lodging);6;5.2;1.6;9;8;4;0
huevo (egg);2.1;7;2.9;5;5;2;7;24;24;oval (oval);5.9;4.6;1.8;4;4;2;8
isla (island);2.6;6.8;3.4;4;4;2;1;13;7;insular (insular);5.5;5;0;7;7;3;2
invierno (winter);2.3;6.3;3;8;8;3;1;15;13;invernal (wintry);4.3;6;1.5;8;8;3;2
juicio (trial);4.9;6;3.5;6;6;2;1;24;6;judicial (judicial);5.4;5.1;2.6;8;8;3;0
joven (young);3.3;6.3;3.8;5;5;2;0;10;7;juventud (youth);4.4;6.3;2.7;8;8;3;0
lágrima (tear);2.2;6.8;2;7;7;3;3;10;6;lacrimal (lacrimal);5.8;6.4;0;8;8;3;2
leche (milk)*;1.5;7;3.3;5;4;2;5;33;33;lactante (baby);6;6.1;0.7;8;8;3;0
leche (milk)*;1.5;7;3.3;5;4;2;5;33;33;láctea (milky0;5.6;5.4;1.9;6;6;3;2
lado (side);2.5;4.6;4.2;4;4;2;15;11;11;lateral (lateral);4.5;6;2.3;7;7;3;1
lenteja (lentil);2.5;6.9;0.5;7;7;3;2;17;15;lenticular (in the form of a lentil);6.8;5.3;0;10;10;4;1
libre (free);3.4;4.2;3.7;5;5;2;3;20;19;liberado (liberated);4.4;5.4;2.5;8;8;4;1
lengua (tongue)*;1.8;6.9;3.2;6;6;2;2;25;25;lingual (lingual0;6.5;5.7;0;7;7;2;0
lengua (tongue)*;1.8;6.9;3.2;6;6;2;2;25;25;lingüista (linguist);6.4;4.7;1.2;9;9;3;0
maestro (teacher)*;2.1;6.1;3.4;7;7;3;2;20;20;magisterio (teaching);5.8;5.1;1.3;10;10;4;0
maestro (teacher)*;2.1;6.1;3.4;7;7;3;2;20;20;magistral (masterly);6.2;4.8;1.3;9;9;3;0
marido (husband);3.5;5.8;3.6;6;6;3;5;12;12;marital (conyugal);6.5;5.1;1.5;7;7;3;1
madre (mother)*;1.4;6.7;4.4;5;5;2;2;30;15;maternal (motherly);4.3;5.6;2;8;8;3;2
madre (mother)*;1.4;6.7;4.4;5;5;2;2;30;15;materno (maternal);4.2;5.3;1.3;7;7;3;2
merienda (afternoon snack);2;6.2;1.8;8;8;3;0;6;6;merendar (to have ‘merienda’);2.2;6.5;1.4;8;8;3;0
mueble (furniture);2.3;6.9;1.9;6;6;2;2;13;8;mobiliario (furniture);5;6.9;1.5;10;10;4;2
muerte (death);3.7;4.6;4;6;6;2;4;24;6;moribundo (dying);4.9;6.8;2.1;9;9;4;1
mover (to move);2.2;5.9;3;5;5;2;1;23;21;motricidad (mobility);6.1;4.5;0.7;10;10;4;0
nadar (to swim);2.4;6.6;3;5;5;2;6;11;11;natación (swimming);2.8;7.1;2.2;8;8;3;4
nacer (to be born);2.9;5.7;2.6;5;5;2;5;15;11;nativo (native);5.5;5;2;6;6;3;4
nacimiento (birth);3.2;5.8;2.9;10;10;4;4;12;12;natalidad  (natality);5.4;5;1.4;9;9;4;0
navidad (Christmas);1.9;6.7;3.7;7;7;3;1;2;2;natividad (nativity);5.6;4.9;1;9;9;4;0
niebla (fog);3.7;6.3;2.4;6;6;2;0;21;9;neblina  (mist);4.3;7.3;1.9;7;7;3;0
noche (night);1.8;6.9;4.6;5;4;2;6;13;13;nocturno (nocturnal);4.4;7;2.8;8;8;3;1
nombrar (to name);3.1;3.9;2.4;7;7;2;2;28;8;nominación (nomination);5.8;4.8;1.9;10;10;4;0
nombre (name);1.8;4.8;4.3;6;6;2;1;27;18;nómina (payroll);6.3;5.1;2;6;6;3;2
nuevo (new);2.3;5.1;4.4;5;5;2;5;11;11;novedad (novelty);4.7;5.2;2.6;7;7;3;0
nueve (nine);1.8;6.6;3.4;5;5;2;3;6;6;noveno (ninth);3.4;6;2.2;6;6;3;0
ocho (eight);1.9;6.5;3.6;4;3;2;3;6;6;octavo (eigth);3.9;5.1;2.4;6;6;3;3
ojo (eye);1.6;7;3.4;3;3;2;5;21;21;oculista (opthalmologist);4;7.2;1.5;8;8;4;0
ofrecer (to offer);4.2;4.7;2.8;7;7;3;0;10;10;oferta (offer);4.2;5.9;3.3;6;6;3;0
parto (delivery);4.7;6.5;2.7;5;5;2;15;38;29;paritorio (delivery room);5.8;6.9;0;9;9;4;1
padre (father);1.4;6.6;4.5;5;5;2;2;29;14;paterno (paternal);4.1;5.5;1.5;7;7;3;2
pecho (chest);2.7;6.9;3.2;5;4;2;10;34;32;pectoral (pectorals);5.5;7.1;1.1;8;8;3;2
pie (foot)*;1.5;7;3.6;3;3;1;4;31;31;pedicura (chiropody);5.6;7.1;1.6;8;8;4;2
piel (skin);2.6;6.8;3.4;4;4;1;6;15;15;peletero (furrier);6.5;6;0;8;8;4;6
pintura (paint);1.9;6.6;3.2;7;7;3;5;14;14;pictórico (pictorial);6.6;5.2;0;9;9;4;1
pez (fish);1.7;7;3;3;3;1;7;8;8;piscis (pisces);4.3;5.3;1.7;6;6;2;0
pliego (sheet);5.6;4.2;0.6;6;6;2;1;12;10;plegable (folding);4.9;6.4;1.4;8;8;3;0
pueblo (village);2.8;6.5;3.8;6;6;2;2;31;30;poblado (village);4;6.9;1.9;7;7;3;4
pie (foot)*;1.5;7;3.6;3;3;1;4;31;31;podólogo (chiropodist);6.1;6.7;1.2;8;8;4;2
puerco (pig);3.6;6.4;2.3;6;6;2;4;20;18;porquero (swineherd);6.5;6.3;0;8;7;3;2
puerta (door);1.8;6.9;4.1;6;6;2;6;25;25;portal (front door);4;7.3;2.7;6;6;2;7
poder (power);3.8;3.9;4.1;5;5;2;3;15;15;potente (powerful);4.9;5.1;2.3;7;7;3;2
prisión (prision);4;6.7;3.6;7;7;2;1;21;4;preso (prisoner);4.1;7.4;2.9;5;5;2;5
pudrir (to rot);4.3;5.2;1.2;6;6;2;3;13;13;putrefacto (putrid);5.9;6.4;1.3;10;10;4;1
riñón (kidney);4.5;6.4;2.5;5;5;2;4;5;5;renal (renal);6.5;4.8;2.2;5;5;2;9
siervo (servant);4.1;6.2;1.7;6;6;2;4;14;4;servil (servile);6.5;4.8;1.5;6;6;2;3
selva (jungle);3;6.8;2.8;5;5;2;4;7;7;silvestre (wild);4.8;5.8;2;9;9;3;0
suelo (floor);1.9;6.8;3.5;5;5;2;9;20;20;solar (plot);4.2;6.1;2.8;5;5;2;16
sueldo (salary);4.9;5;2.7;6;6;2;3;18;9;sólido (solid);4.4;6.8;0;6;6;3;4
toro (bull)*;2.5;7;2.7;4;4;2;20;30;13;tauro (taurus);4.2;5.2;1.2;5;5;2;4
toro (bull)*;2.5;7;2.7;4;4;2;20;30;13;tauromaquia (bullfighting);6.8;5.7;0;11;10;4;0
tienda (shop);2.6;6.6;3.6;6;6;2;3;21;21;tendero (shopkeeper);4.6;7.1;1.4;7;7;3;3
tiniebla (darkness);4.1;5.1;0.3;8;8;3;1;10;10;tenebroso (dark);4.7;5.7;2;9;9;4;1
tierno (tender);4.1;5;2.7;6;6;2;1;12;12;ternura (tenderness);4;5.2;2.1;7;7;3;2
tierra (earth);2.3;6.9;3.9;6;5;2;5;38;38;terrero (heap of earth);5.1;5.9;0;7;6;3;10
trueno (thunder);3.1;6.4;2.2;6;6;2;1;18;12;tronido (thurnderclap);6.8;5.6;0;7;7;3;1
viejo (old);2.6;6.1;4.2;5;5;2;2;21;21;vejez (old age);4.4;6.6;2;5;5;2;0
viento (wind);2.4;6;3.2;6;6;2;3;26;26;ventoso (windy);5;6;1.4;7;7;3;2
vientre (belly);3.8;6.4;2.5;7;7;2;1;16;16;ventral (ventral);6.6;5.2;0.7;7;7;2;2
ver (to see)*;1.9;4.8;4.7;3;3;1;7;18;18;vidente (clairvoyant);5.1;7;2.2;7;7;3;3
ver (to see)*;1.9;4.8;4.7;3;3;1;7;18;18;visible (visible);4.4;6;2.2;7;7;3;2
vida (life);3;4.2;4.7;4;4;2;11;25;8;vital (vital);5.2;4.7;2.6;5;5;2;6
vuelo (flight);2.7;5.9;3.5;5;5;2;4;29;29;volante (flyer);3.3;7.8;2.7;7;7;3;3
